#word,meaning,option1,option2,option3
underestimate,低估,预测,猜测,出乎预料
commonplace,寻常的事物,讲话,小鸡,曾经
farewell,再会,印刷业,革命党人,朗诵
pyre,火葬柴堆,染色,(指时间)在…以前,机会
counter,反方向地,增加,准许,坦率
informative,使知道消息的,早饭,谣言,晚餐
arbitrate,仲裁,务实,审议,处决
shred,切成细条,安慰,共产主义者,浩瀚
upgrade,使升级,得意,当选,罢官
poise,泰然自若,如饥似渴,对得起,羞愧
undesirable,讨厌,厌倦,博爱,忠于
fluent,流利,实际,抽象,拗口
howl,(风等)怒吼,呜咽,散射,闪亮
burgeon,迅速成长,掉队,落,建设
facilitate,使容易(便利),广阔,翻译,真实
molest,骚扰,收复,突破,侵入
correspondent,对应物,支配,懒散,改进
perspective,透视图,波谱,表格,视图
novel,新奇,怪僻,不是味儿,神奇
confine,使闭门不出,证词,逼供,监禁
modish,时髦,凉爽,现有,新鲜
plunder,掠夺,绑架,断路,偷窃
offer,出现,含水,表现,重现
float,使漂浮,枪,观测,宽阔的罩衫
refusal,拒绝,回绝,签订,允许
quarry,采石,探测,遥测,测量
heed,注意到,舍得,小心,谅解
plagiarize,剽窃,压迫,讹诈,诱拐
riot,骚乱,按兵不动,纷纷,喜新厌旧
selective,有选择性,情况,组织,两个(人或物)
diverge,分岔,拿,吐出,饲(养)
ward,牢房,工厂,兵工厂,法庭
terminal,终点(站),用墙隔开,移,他的
literally,确实,不如,怪不得,实际
quote,引用,标号,介绍,解析
electronic,电子(学)的,许多,发射,土地
variable,变量,次数,碑额,一个
fade,逐渐消失,动物,性别,遮光
attribute,属性,骄气,伸缩性,可能性
intent,目的,定律,逻辑,古典
acknowledge,对(某人所做的事)表示感谢,消遣,气球,运用能力
symmetry,对称(性),无限,重叠,调匀
restrict,限制,妨碍,激发,兴奋
migratory,迁移,搬家,停留,渡过
somehow,设法,思想,怀抱,联想
analysis,分析,标明,定量分析,介绍
exposition,说明,来自,归属,预兆
arboreal,树木,疤痕,裂纹,瘢痕
balance,收付平衡,表演,授予(奖品等),见解
ruffle,弄皱,纠缠,打扰,骗取
credentials,信任状,手指,平静,使沾污泥
distinct,明显,非法,隐约,不露声色
engrave,雕刻,版刻,按脉,雕塑
dictate,(使)听写,把..拍成电影,担心,追踪
carp,鲤鱼,说明,药方,皮带
systematic,分类,综合,研究,小结
fallacy,谬误,笔误,莫名其妙,合情合理
twinkle,闪烁,散射,咆哮,折射
blink,眨眼睛,冰淇淋,升起,年龄最小的人
conventional,习惯,惊愕,入迷,专心
immigrant,(从外国)移来的,秘书,土著,干部
tranquility,宁静,定弦,羞愧,不知所措
flaw,缺陷,好处,防御性,优点
day,白天,下午,夜晚,中午
barber,理发师,先生,干事,经纪人
instinct,本能,想像力,观念,创造力
norm,标准,非正式,本职,国产
marrow,骨髓,韧带,脉搏,命脉
lagoon,泻湖,水池,池子,洱
presumption,假定,鉴于,否则,为此
wardrobe,衣橱,吊床,碗柜,壁橱
pants,裤子,短裤,围裙,内裤
hail,一阵,吨公里,海里,公尺
drowsy,昏昏欲睡,激昂,疲倦,喘息
outcry,呼叫,召回,响应,总动员
description,作图,测绘,版刻,雕琢
incite,激发,杜绝,拔苗助长,加以
valid,有效,隐约,官方,强烈
infertile,无法生殖,没有被预订的,脑子,安装
contemplate,沉思,联想,感激,绞尽脑汁
torch,火炬,摁扣儿,白蜡,火柴
dose,(药的)剂量,沉默,写信(给),脑浆
perimeter,周(边),标高,强度,力度
asylum,避难所,电影院,医院,马戏团
laundry,洗好的衣服,荡,沐浴,拆散
bind,变硬,浩瀚,约会,提存
cable,打电报,打电话,寄送,私语
filth,污秽,清爽,整齐,无助
kernel,(果实的)核,牲畜,橡皮擦,骄傲
classical,人文科学,医学,科学,平方
chore,零工,师傅,木匠,讲解员
intensive,集中,久违,握别,会合
analogous,类似,俨然,超越,反过来说
sculpture,雕塑,调色,素描,雕琢
pains,辛苦(痛苦),通知,不会,猜想
buzzword,报警语句,视频,摄影师,兴建
roll,使滚动,(动物)象,枯燥,晚上十二点钟
company,公司,书店,奶牛场,食堂
essay,随笔,短篇小说,传记,小说
craze,狂热,麻木,瘫痪,发狂
ramble,聊天,提出,演讲,提到
lack,缺少,不足,剩余,现存
pan,平底锅,便壶,茶壶,布线
hitherto,迄今,前夕,年底,往昔
good,利益,弊病,优点,弱点
jungle,丛林,白皮松,裂痕,松树
acid,酸,液体,固体,半流体
madden,使发狂,烦扰,缠绕,触犯
onus,义务,对头,手提,徒劳
Ceramics,陶器,消防栓,装置,算盘
pervious,让过去的,休息时间,主席,支撑物
involve,使卷入,祝贺,态度,斗争
structural,结构,班子,各种,某种
crease,折缝,污痕,行踪,笔迹
velocity,迅速,疾驰,速成,急剧
supplant,排挤,引出,欺凌,危害
component,构成,缠绕,对立,通航
mist,薄雾,硝烟,烟雾,潮汐
cannon,大炮,铳,扳机,长枪
bid,投标,订阅,函购,采购
nap,午睡,筹集,调治,喘息
despise,鄙视,并排,无所谓,推崇
square,广场,殡仪馆,股市,磁场
range,延伸,压缩,蔓延,放开
eucalyptus,桉树,芝麻,蓖麻,甜菜
slim,苗条,肥胖,短粗,深深
conservation,守恒,违例,信守,顺从
disgust,使讨厌,袖子,(蚕)丝,顶点
empower,允许,回绝,不容,协定
hypnosis,催眠状态,电脑,线,合伙人
sheer,陡峭,拱形,凹陷,崎岖
opponent,反对者,示威者,仆人,支持者
ventilation,通风孔,使完整,护照,宫
ambivalent,（对人或物）有矛盾看法的,无言,大量,联合
sanitary,卫生,失调,大喜,肮脏
sporadic,不定时发生的,调和,复杂性,详细
cynical,愤世嫉俗,憎恶,引咎,爱憎
tamper,窜改,修饰,编印,修订
defile,弄污,输掉,辫子,好运
evolve,(使)发展,巡回演出,生育,格言
trend,趋向,面对,等到,面向
ephemeral,朝生暮死,罩,凭借,(电话)号码簿
tick,勾,赞同,观光客,严格
liberal,慷慨,大方,严峻,吝啬
cafe,咖啡馆,中国银行,中介,集团
denounce,揭发,庇佑,指控,栽赃
trespass,侵犯,腐蚀,麻醉,复仇
occupant,居住者,华侨,市民,华人
monotonous,单调,怪诞,怪僻,正常
abound,充满,包藏,表露,容纳
sign,征兆,行踪,病症,天气
edge,边,全国性,感性,政治性
assured,自信,确信,不服,吃醋
effluent,流出,渗入,出来,进入
steamer,蒸汽汽车,独木舟,摆渡,巨轮
eternal,永久,临时,长期,实时
seal,封条,里程碑,界标,牌匾
leaflet,传单,半票,本票,选票
asymmetry,不称,灰心丧气,指纹,真相
average,平均,分开,合成,东拼西凑
thyroid,盾状,关节,贝壳,指甲
unconscious,不知道的,压,游行示威,类型
ample,充分,过度,最少,多么
face,面对,趋向,朝着,面临
scan,浏览,读报,酬和,背书
seep,（液体等）渗漏,有价值的,懒散,(长篇)小说
relevant,相关,牵扯,影响,不相干
federal,联邦,盟友,我国,外国
authentic,真的,固然,简直,左右
standard,标准,业余,外来,国产
assault,攻击,肯定,批评,谴责
internal,国内,室内,体内,党内
tilt,倾斜,依偎,倚靠,蠕动
reflect,反射(光、热、声音、影像等),声誉,名望,速效
argument,论点,报应,原委,产物
barbecue,烤肉用的台架,一次机会,五(个,训练
vacation,空出,足够,节省,浪费
condense,浓缩,收缩,推广,压缩
pregnant,充满,包罗,容纳,显现
spark,火花,波峰,微波,波谷
accelerate,(使)加速,内地(陆)的,洗澡,乡村地区
virus,病毒,毒菌,躯干,病原
permeate,扩散,分散,落,为首
indispensable,不可缺少,真实,痛苦,(使)凸出
redundancy,多余的事物,擅长,路边,丘陵(地带)
fluctuate,波动,太平,和平,稳定
downfall,衰败,后来,是,安步当车
lavish,浪费,节约,抽出,足够
allocate,分配,兑换,借款,按需分配
unlikely,不大可能,被云层遮蔽,概括性的,水槽
raft,木排,方舟,独木舟,飞机
hell,苦境,梦境,现状,案情
constable,(英国)警察,炮手,标兵,侦探
marble,大理石的,尝试,恰当,天资
technical,技术(性)的,移植,骗术,眼光
underlying,在下面的,谋杀犯,卫生间,午后
suspicious,可疑,新奇,官方,不三不四
imminent,即将发生,濒临,毗连,相隔
owe,欠钱,原型,父亲,经纪人
given,考虑到,伤害,设计,塞满
committee,委员会,政协,军区,电信局
gentle,高尚,纯正,自私,清廉
suitcase,小提箱,箱子,手提箱,烟灰缸
microwave,微波,波谷,波澜,岩浆
suspension,悬吊,淹没,降下,对流
signpost,广告柱,标语牌,队旗,摩托罗拉
stadium,体育场,报馆,俱乐部,电台
reign,朝代,历代,东晋,北魏
potential,潜在,官方,顶用,强烈
meek,温顺,叛逆,听说,伪善
picnic,野餐,包饭,据说,晚餐
ensure,担保,人寿保险,不见得,莫非
puzzle,难题,白卷,答案,题解
basis,根据,按理,及其,或者
complication,复杂,匀净,详细,重叠
collide,碰撞,滚动,转身,回转
administration,管理,接管,经营,治理
triple,三倍,抓牢,双生子,提出看法
piracy,非法翻印,屏风,穗,霹雳声
offshore,海面,面积,地壳,压力
multilateral,多边,波段,彼此,政界
downpour,倾盆大雨,矿泉,雨滴,暴雨
vivid,生动,静止,沉重,平板
seniority,前任者的特权,辈分,个性,性情
decrease,减弱,放松,安定,改良
discard,抛弃,牵扯,舍命,弃权
cohesion,内聚力,潜力,笔力,压力
miserable,悲惨,辛劳,大喜,严肃
propose,建议,务实,呼叫,呼唤
trochanter,动物(昆虫足上位于基节与腿),楼梯的一段,用,车间
idyll,田园生活,对联,口号,歌词
identity,同一性质,搬,使安静,洞
vow,郑重宣告(或声明),给…饮水,(心中的)不安,爱尔兰(共和国)
toil,艰苦地劳动,阴霾,无线电收发报业余爱好者,小径
lens,透镜,墨镜,镜子,显微镜
category,种类,广域网,广播网,民间
nourishment,营养(情况),(使)沾,相等,品种
inferior,下级的,涂(盖)上,脂肪,塞满
thorough,仔细周到,节约,断断续续,草草
aspire,渴望,巴望,出乎预料,追求
sufficient,足够,浪费,抽出,动态平衡
domestic,驯养,捕鱼,钓鱼,养殖
rave,热切赞扬,滑落,陨落,跌落
petition,请愿书,介入,探路,狡赖
perpetual,永久,多时,通宵,一会儿
mar,毁坏,陨落,皴裂,倾倒
measure,测量,检测,探测,勘探
expedient,权宜之计,毒计,战略,把戏
lecture,告诫,激励,归咎,鞭策
obligation,义务,徒劳,方便,不违农时
bound,开往…,看,起作用,一(旦)…就…
nevertheless,然而,连同,并且,尽管
ultimately,最后,结局,开端,经历
reasonable,(价钱)公道的,公正,平衡,学问
expend,花费,耗费,白费,转帐
sort,种类,数字网,电话网,民间
etiquette,礼仪礼节,情况,千米,放债者
diagnose,诊断(疾病),大笔的钱,离开,装备
thirst,口渴,打喷嚏,醉,饥饿
design,设计,策划,败兴,失望
pavement,人行道,过道,路,马路
elegant,精致,光滑,浮华,粗糙
edition,版,页心,木版,仪器
duly,的确,不免,左右,简直
slogan,标语,暗语,梦话,脏话
dolphin,海豚,袋鼠,鲸鱼,河马
forthcoming,现有,供需,存在,留下
soothe,缓和,游说,告诫,帮忙
impair,损害,无害,不利,预防
eminent,著名,黑暗,丢人,无名
seam,接缝,提到,不假,需要
flabby,（肌肉）松软的,记录,鞋内衬垫,虽然...但是
slot,切口,标语,脏话,梦话
framework,框架,程序,首次,层次
destine,预定,背信弃义,邀请,违约
laudable,值得称赞,短距离,上演,送行
glossary,术语汇编,腐败,为(论文等)答辩,发出(气味等)
economy,经济,损失,泄露,小题大做
capitulate,（有条件地）投降。,(美)行李,冷的,用键盘输入(信息)
offhand,当即,临时,不只,甚或
pretentious,做作,悬,翘,伪装
temperament,性格,孩子气,虐,身体
legislate,制定法律,(事情等)降临于,终止,(煮饭取暖用之)火炉
silt,淤泥、淤沙,不),首领,管理
call,打电话,咕噜,通信,出口
aware,意识到的,知悉,识破,忘记
negotiate,成功越过,踢腿,容忍,拒绝
wholesale,大规模(的),假装,挤满,本人
deposit,(使)沉淀,盒,弯曲,困境
heretic,异教徒,大师,长老,偶像
exclusive,排外,计算,孤立,践踏
croissant,新月形面包,纪念物,咖啡,进一步的
vegetarian,全素,美的,对象,野兽
irritate,使疼痛,火腿,破烂衣服,排队
scatter,驱散,变相,变价,变形
exterior,外部,排队,刀口,编队
quiver,微微颤动,监督,分币,必须
overwrought,紧张过度,达成协议,崇拜,航行
attorney,律师,暗探,班主任,陪审团
transaction,处理,推销,变卖,批发
contempt,轻蔑,无所谓,注意,放心
grill,烤,给,品质,泥浆
connection,联络工具,航行,人的,擦
scout,童子军,舰队,步兵,别动队
swing,摆动,跳动,余震,簸荡
liner,班船,空间站,飞机,滑翔机
associate,使发生联系,领导,大减价,把…说成
deviate,(使)背离,包围,相隔,交界
sceptical,怀疑,不服,信奉,同情
economics,经济学,课程,科研,医学
radiate,辐射,惊涛骇浪,照亮,发亮
retention,保留,找到,储存,保藏
recruit,征募新兵,和平,常常,恰当
survival,生存,留下,供需,便于
voluptuous,撩人,族,意识,从
polar,两极,尺寸,极了,力气
calendar,日历,表册,信用证,手册
tutorial,个别指导,无线电话(电报),注意到,呼吸
fatty,含脂肪的,树皮,不随意肌,毛
voltage,电压,女售货员,(美)行李,勇敢
logic,逻辑(学),非盈利,试验性,迫切性
esperance,『废』希望,房屋,页,歧视
whereby,(关系副词)由此,等级,适度,个别
astound,使惊骇,拼命,细看,印刷字体
remittance,汇款,问候,邮递,致函
bloc,集团,为生,不结盟,度日
cassette,盒式磁带,相等,蛙类动物,一定
chamber,议院,国会,领事馆,委员会
extol,赞美,违抗,违心,拍案叫绝
martial,尚武,教派,梅派,海军
quirk,奇事,琐事,丑事,婚事
sieve,筛,住房供给,各人,弱的
jelly,肉冻,场所,十分,明白
chart,航(线)图,现代,有益,逆
vogue,流行,牵连,交接,遗传
toad,蟾蜍,白花蛇,海狸,青蛙
prerogative,特权,强权,夫权,责任
participate,参加,退学,缺席,脱氧
articulate,清楚说话,牵连,传说,流行
toddler,学步的小孩子,(表示同意)确实,十四,开拓(创)
alkali,碱,泻盐,盐,弱酸
signify,表示,显示,认证,标明
antique,古代,中世纪,同时代,时代
bonus,补贴,贷款,借款,信用
demonstrative,说明,显示,根源,归属
invincible,不可征服,禁令,男朋友,中间
drought,旱灾,饥荒,火灾,地震
chic,漂亮,传神,莫须有,百读不厌
engagement,约会,订婚,追求,求婚
dynamic,动力,电力,抵抗力,国力
slag,炉渣,矿产,文物,白钨矿
nought,无,希望,使变酸,外科医生
correlate,互相关联的事物,流汗,在下面,刺槐
postage,邮资,发行额,信用,旅费
historic,历史上著名的,随便,恰好,声明
intimate,详尽,琐细,调和,无限
eke,补充,补发,补遗,升值
proximity,接近,相似,俨然,不等式
paralyse,使麻痹,(外交等方面的)姿态,设计师,挤满
soil,泥土,土堆,土壤,冻土
beverage,饮料,冰糕,咖啡,可可
dysentery,痢疾,疟疾,霍乱,翳
eloquent,善辩,电击,八分之一(的),控制
expansion,扩张,改组,收缩,切换
protest,抗议,罢工,请愿,内乱
hold,控制,利于,约束,限于
tangle,使缠结,迟,夏天,给...房子住
campus,(大学)校园,(章节、段落等的)标题,激励,帐单
peak,山顶,山崖,高山,火山
solo,单独的(地),演奏者,醒悟到,使成冰
quality,品质,操行,性行,兽性
carton,长形纸匣,包装,分化,赤黄色的
break,中断,开展,止血,休战
disguise,化装服,点,电影,(表示方向)到
vomit,吐出,璧还,退票,借出
theft,偷窃,掠夺,盗版,断路
democratic,民众,人民,分子,人群
expire,呼气,饿死,活着,牺牲
beset,使苦恼,贸易战,冲击,督战
squash,挤压,端面,握住,液压
combine,集团,断交,为生,栖身
mammal,哺乳动物,表记,补给,摆设
sheet,片,尾,匹,艘
expenditure,支出,付款,缴纳,补税
beautician,美容师,店员,经纪人,出纳员
marvel,惊奇,惊骇,懂事,震惊
react,起作用,使屈从,指南,加调味品
skip,跳,水手,表语,圈套
gown,女裙服,温柔,讲授,近代
competition,比赛,游泳,蛙泳,对局
athlete,运动员,大学生,实习生,初学者
aggregate,集合,告别,别离,集中
investigate,调查,不准,追查,侦探
circumstance,情况,大概,来历,暗流
on,向前,推进,昂首阔步,败子回头
prohibit,禁止,签证,查证,许可
annual,每年,年度,世纪,周年
disturb,打扰,画蛇添足,出没,渎职
climactic,顶点,北回归线,半边,八度
inestimable,无价,宝贵,昂贵,便宜
grief,悲痛,欢腾,快乐,痛苦
heritage,遗产,半价,财富,家事
misguided,被误导的,(某方面的)能手,热衷,工资
equator,赤道,南极,东经,北半球
dispose,处置,惩戒,逼供,判处
fascinating,迷人,广博,动人,可怕
foremost,在最前,到...上面,(使)转动,深
consign,托运,输送,空运,舰载
concoct,调制,调节,调拨,调职
respectively,个别,亲自,亲手,从中
formality,礼节,然后,层次,排行
comment,评论,鉴定,点名,评估
prime,主要,珍贵,敝,辅助
rub,擦,边,使卡住,毁灭
nurture,教育,各种各样,意外的相见,战斗
